ID	type
MA_10122543g0020	gene
MA_10122566g0010	gene
MA_10122668g0010	gene
MA_10122826g0010	gene
MA_101231g0010	gene
MA_10123381g0010	gene
MA_10123445g0010	gene
MA_10123473g0010	gene
MA_10123530g0010	gene
MA_10123705g0010	gene
MA_101241g0010	gene
MA_10124226g0010	gene
MA_10124966g0010	gene
MA_10126084g0010	gene
MA_101266g0010	gene
MA_10126g0010	gene
MA_10127209g0010	gene
MA_10127579g0010	gene
MA_10128304g0010	gene
MA_10128792g0010	gene
MA_101288g0010	gene
MA_101290g0010	gene
MA_101292g0010	gene
MA_10130047g0010	gene
MA_10130205g0010	gene
MA_10130590g0010	gene
MA_101312g0010	gene
MA_10131595g0010	gene
MA_10131732g0010	gene
MA_10132073g0010	gene
MA_10132762g0010	gene
MA_10133637g0010	gene
MA_10133755g0010	gene
MA_10133878g0010	gene
MA_10134g0010	gene
MA_10135085g0010	gene
MA_10135105g0020	gene
MA_10135529g0010	gene
MA_10135677g0010	gene
MA_10135775g0010	gene
MA_10135850g0010	gene
MA_101364g0010	gene
MA_10136525g0010	gene
MA_10137070g0010	gene
MA_101370g0010	gene
MA_10137141g0010	gene
MA_101371g0010	gene
MA_10137384g0010	gene
MA_10137667g0010	gene
MA_10137700g0010	gene
MA_10137748g0010	gene
MA_10138132g0010	gene
MA_10138578g0010	gene
MA_10138732g0010	gene
MA_10139039g0010	gene
MA_10139353g0010	gene
MA_1013945g0010	gene
MA_10139759g0010	gene
MA_10139g0010	gene
MA_1013g0010	gene
MA_101402g0010	gene
MA_101405g0010	gene
MA_10140789g0010	gene
MA_10140790g0010	gene
MA_10141632g0010	gene
MA_10141852g0010	gene
MA_10141g0010	gene
MA_10141g0040	gene
MA_10142119g0010	gene
MA_10142206g0010	gene
MA_101422g0010	gene
MA_10142512g0010	gene
MA_10142525g0010	gene
MA_10142767g0010	gene
MA_10142784g0010	gene
MA_10142969g0010	gene
MA_10143217g0010	gene
MA_10143270g0010	gene
MA_10143614g0010	gene
MA_10143671g0010	gene
MA_101436g0010	gene
MA_10143842g0010	gene
MA_10144111g0010	gene
MA_101443g0010	gene
MA_101446g0010	gene
MA_10144850g0010	gene
